date,close,open,high,low,rate
20240827,3.85 ,3.81 ,3.87 ,3.81 ,0.01 
20240826,3.82 ,3.79 ,3.82 ,3.77 ,0.01 
20240823,3.80 ,3.85 ,3.86 ,3.79 ,(0.02)
20240822,3.86 ,3.80 ,3.88 ,3.79 ,0.02 
20240821,3.80 ,3.80 ,3.83 ,3.76 ,(0.00)
20240820,3.81 ,3.87 ,3.89 ,3.81 ,(0.02)
20240819,3.88 ,3.91 ,3.91 ,3.85 ,(0.00)
20240816,3.88 ,3.92 ,3.92 ,3.86 ,(0.01)
20240815,3.92 ,3.84 ,3.95 ,3.83 ,0.02 
20240814,3.84 ,3.85 ,3.89 ,3.81 ,(0.00)
20240813,3.85 ,3.90 ,3.92 ,3.85 ,(0.02)
20240812,3.91 ,3.94 ,3.97 ,3.90 ,(0.01)
20240809,3.94 ,3.99 ,3.99 ,3.92 ,(0.01)
20240808,3.99 ,3.92 ,4.02 ,3.89 ,0.01 
20240807,3.95 ,3.88 ,3.98 ,3.88 ,0.01 
20240806,3.90 ,3.84 ,3.91 ,3.81 ,0.03 
20240805,3.78 ,3.79 ,3.83 ,3.67 ,(0.00)
20240802,3.79 ,3.97 ,3.97 ,3.79 ,(0.05)
20240801,3.98 ,4.06 ,4.07 ,3.97 ,(0.01)
20240731,4.03 ,4.15 ,4.16 ,4.03 ,(0.03)
20240730,4.14 ,4.18 ,4.19 ,4.13 ,(0.01)
20240729,4.17 ,4.20 ,4.20 ,4.15 ,(0.01)
20240726,4.19 ,4.24 ,4.26 ,4.19 ,(0.01)
20240725,4.25 ,4.28 ,4.28 ,4.20 ,(0.01)
20240724,4.29 ,4.25 ,4.29 ,4.21 ,0.01 
20240723,4.25 ,4.25 ,4.26 ,4.22 ,0.00 
20240722,4.25 ,4.22 ,4.28 ,4.20 ,0.00 
20240719,4.24 ,4.19 ,4.25 ,4.19 ,0.01 
20240718,4.20 ,4.16 ,4.21 ,4.16 ,0.01 
20240717,4.16 ,4.16 ,4.20 ,4.14 ,0.00 
20240716,4.16 ,4.22 ,4.22 ,4.16 ,(0.02)
20240715,4.23 ,4.24 ,4.25 ,4.20 ,0.01 
20240712,4.19 ,4.21 ,4.24 ,4.18 ,(0.01)
20240711,4.21 ,4.29 ,4.32 ,4.17 ,(0.02)
20240710,4.28 ,4.30 ,4.31 ,4.27 ,(0.00)
20240709,4.30 ,4.28 ,4.33 ,4.27 ,0.00 
20240708,4.28 ,4.29 ,4.32 ,4.27 ,0.00 
20240705,4.28 ,4.37 ,4.40 ,4.27 ,(0.02)
