date,close,open,high,low
20240827,"5,124.10","5,063.50","5,147.90","5,019.90"
20240826,"5,097.30","5,199.00","5,229.10","5,080.00"
20240823,"5,228.70","5,163.10","5,259.30","5,149.00"
20240822,"5,086.90","5,303.80","5,315.70","5,072.40"
20240821,"5,267.90","5,232.30","5,288.50","5,205.10"
20240820,"5,196.30","5,237.30","5,273.30","5,159.10"
20240819,"5,266.60","5,159.50","5,267.00","5,096.40"
20240816,"5,170.20","5,108.70","5,186.10","5,100.10"
20240815,"5,173.40","5,035.60","5,190.20","5,022.00"
20240814,"4,933.30","4,981.80","5,000.10","4,852.40"
20240813,"4,942.30","4,807.70","4,945.80","4,788.30"
20240812,"4,743.80","4,729.30","4,800.20","4,690.20"
20240809,"4,709.50","4,703.00","4,746.30","4,643.90"
20240808,"4,730.00","4,552.20","4,736.70","4,472.30"
20240807,"4,426.30","4,709.60","4,738.90","4,418.60"
20240806,"4,567.60","4,558.70","4,683.10","4,493.70"
20240805,"4,519.50","4,330.30","4,635.10","4,290.40"
20240802,"4,607.80","4,644.50","4,698.90","4,540.70"
20240801,"4,859.60","5,143.80","5,201.30","4,801.10"
20240731,"5,233.20","5,127.60","5,240.60","5,088.40"
20240730,"4,890.20","5,108.00","5,119.30","4,874.60"
20240729,"5,087.60","5,156.00","5,226.40","5,074.30"
20240726,"5,103.10","5,110.60","5,147.90","5,056.20"
20240725,"5,005.40","5,052.30","5,168.10","4,906.70"
20240724,"5,105.70","5,320.10","5,330.90","5,098.40"
20240723,"5,397.90","5,407.60","5,453.60","5,386.00"
20240722,"5,477.80","5,382.50","5,482.00","5,344.30"
20240719,"5,267.20","5,424.50","5,429.20","5,261.60"
20240718,"5,436.40","5,499.80","5,511.50","5,341.30"
20240717,"5,408.70","5,596.00","5,636.10","5,402.90"
20240716,"5,804.00","5,797.60","5,812.70","5,714.70"
20240715,"5,777.70","5,802.60","5,854.10","5,743.80"
20240712,"5,775.20","5,727.00","5,871.00","5,705.90"
20240711,"5,699.70","5,930.00","5,931.80","5,682.10"
20240710,"5,904.50","5,818.30","5,913.90","5,799.40"
20240709,"5,765.20","5,798.60","5,826.20","5,713.90"
20240708,"5,765.20","5,701.30","5,772.50","5,700.90"
20240705,"5,656.30","5,684.00","5,703.50","5,625.50"
20240703,"5,651.70","5,555.50","5,673.60","5,537.00"
20240702,"5,545.00","5,443.30","5,546.00","5,442.10"
20240701,"5,477.10","5,472.00","5,481.60","5,371.10"
20240628,"5,472.30","5,454.40","5,583.10","5,431.30"
20240627,"5,421.10","5,435.30","5,477.50","5,389.30"
20240626,"5,452.30","5,469.60","5,499.40","5,389.50"
20240625,"5,467.70","5,413.00","5,470.30","5,361.80"
20240624,"5,371.50","5,485.20","5,519.40","5,369.60"
20240621,"5,538.50","5,538.20","5,613.50","5,482.50"
20240620,"5,610.00","5,787.90","5,789.60","5,577.60"
20240618,"5,765.10","5,705.50","5,792.90","5,696.00"
20240617,"5,688.10","5,640.00","5,699.20","5,571.40"
20240614,"5,598.30","5,558.60","5,613.30","5,540.90"
20240613,"5,602.40","5,590.60","5,624.00","5,527.20"
20240612,"5,520.90","5,456.20","5,543.60","5,452.80"
20240611,"5,365.40","5,343.30","5,374.20","5,287.00"
20240610,"5,362.40","5,243.70","5,379.50","5,238.80"
20240607,"5,287.20","5,288.10","5,322.10","5,254.90"
20240606,"5,301.70","5,344.00","5,353.50","5,260.60"
20240605,"5,347.40","5,208.10","5,348.90","5,193.70"
20240604,"5,116.30","5,144.50","5,149.00","5,074.40"
20240603,"5,152.50","5,215.10","5,215.10","5,059.90"
20240531,"5,123.40","5,180.60","5,204.50","4,988.00"
20240530,"5,173.30","5,208.80","5,228.20","5,145.90"
20240529,"5,219.30","5,234.40","5,249.70","5,206.90"
20240528,"5,317.90","5,286.00","5,343.70","5,235.90"
20240524,"5,220.90","5,167.00","5,232.30","5,149.30"
20240523,"5,126.00","5,243.70","5,255.60","5,082.00"
20240522,"5,126.80","5,115.00","5,140.80","5,074.40"
20240521,"5,074.40","5,031.00","5,080.90","5,020.60"
20240520,"5,090.40","5,002.10","5,119.20","4,999.40"
20240518,"4,983.00","5,048.90","4,983.00","4,983.00"
20240517,"4,983.00","5,048.90","5,056.00","4,947.20"
20240516,"5,017.50","5,045.00","5,084.60","5,017.30"
20240515,"5,045.10","4,946.20","5,046.30","4,930.70"
20240514,"4,903.90","4,817.40","4,908.50","4,811.80"
20240513,"4,823.10","4,828.60","4,846.80","4,811.00"
20240510,"4,808.00","4,814.90","4,857.80","4,787.80"
20240509,"4,759.80","4,786.50","4,789.40","4,737.50"
20240508,"4,790.40","4,741.70","4,794.30","4,737.30"
20240507,"4,784.90","4,825.70","4,840.60","4,783.90"
20240506,"4,820.40","4,749.90","4,820.50","4,739.40"
20240503,"4,716.20","4,696.00","4,740.50","4,675.70"
20240502,"4,605.30","4,586.60","4,620.70","4,498.50"
20240501,"4,507.70","4,588.40","4,660.00","4,482.10"
20240430,"4,673.30","4,756.70","4,803.00","4,671.80"
20240429,"4,765.80","4,735.40","4,772.10","4,690.80"
20240426,"4,735.30","4,619.80","4,756.90","4,616.40"
20240425,"4,615.00","4,515.90","4,645.60","4,492.90"
20240424,"4,526.20","4,608.00","4,616.90","4,490.50"
20240423,"4,478.80","4,415.60","4,500.30","4,407.20"
20240422,"4,381.90","4,351.20","4,411.60","4,299.70"
20240419,"4,306.90","4,444.90","4,480.10","4,288.00"
20240418,"4,491.70","4,541.50","4,567.60","4,474.90"
20240417,"4,567.30","4,725.80","4,733.40","4,561.60"
20240416,"4,720.50","4,682.80","4,744.20","4,670.40"
20240415,"4,679.10","4,804.20","4,827.90","4,658.90"
20240412,"4,745.00","4,810.70","4,819.80","4,735.50"
20240411,"4,906.40","4,816.10","4,911.50","4,784.40"
20240410,"4,790.30","4,789.90","4,847.50","4,761.10"
20240409,"4,870.80","4,869.40","4,890.90","4,785.60"
20240408,"4,825.40","4,848.70","4,868.90","4,808.80"
20240405,"4,819.10","4,784.20","4,847.50","4,751.00"
20240404,"4,756.10","4,973.30","4,984.90","4,751.00"
20240403,"4,903.50","4,838.10","4,938.30","4,831.50"
20240402,"4,886.90","4,883.60","4,898.10","4,834.20"
20240401,"4,962.10","4,921.50","5,030.50","4,920.00"
20240328,"4,905.20","4,892.50","4,926.80","4,887.10"
20240327,"4,899.90","4,902.30","4,903.20","4,815.10"
20240326,"4,851.90","4,920.20","4,943.30","4,849.80"
20240325,"4,891.50","4,838.30","4,937.30","4,836.40"
20240322,"4,908.30","4,876.00","4,945.60","4,869.00"
20240321,"4,897.90","4,949.10","4,983.50","4,890.50"
20240320,"4,788.20","4,718.20","4,798.30","4,682.50"
20240319,"4,712.80","4,683.70","4,734.50","4,620.50"
20240318,"4,757.60","4,834.10","4,856.40","4,751.40"
20240315,"4,757.70","4,745.70","4,808.70","4,719.70"
20240314,"4,783.60","4,859.70","4,880.00","4,741.60"
20240313,"4,869.00","4,926.70","4,932.10","4,841.70"
20240312,"4,992.50","4,946.80","4,993.00","4,868.40"
20240311,"4,890.20","4,888.40","4,926.40","4,835.90"
20240308,"4,957.80","5,185.30","5,217.80","4,957.20"
20240307,"5,165.80","5,063.50","5,187.60","5,062.70"
20240306,"4,997.90","4,976.60","5,052.00","4,947.10"
20240305,"4,879.80","4,921.70","4,954.00","4,829.40"
20240304,"4,982.00","4,973.50","5,037.60","4,956.10"
20240301,"4,929.60","4,781.00","4,950.30","4,781.00"
20240229,"4,726.90","4,663.90","4,737.10","4,645.50"
20240228,"4,602.60","4,602.10","4,627.20","4,583.80"
20240227,"4,654.90","4,680.20","4,697.20","4,651.40"
20240226,"4,663.50","4,658.90","4,683.90","4,634.80"
20240223,"4,615.00","4,688.60","4,709.50","4,593.00"
20240222,"4,667.40","4,632.60","4,687.30","4,604.20"
20240221,"4,446.40","4,403.00","4,446.80","4,383.90"
20240220,"4,456.90","4,489.90","4,507.50","4,389.80"
20240216,"4,527.70","4,585.30","4,624.50","4,515.00"
20240215,"4,558.10","4,591.60","4,599.90","4,540.10"
20240214,"4,565.40","4,533.30","4,568.10","4,503.30"
20240213,"4,468.20","4,412.90","4,515.00","4,408.50"
20240212,"4,560.00","4,566.20","4,644.00","4,543.00"
20240209,"4,567.30","4,505.80","4,574.90","4,479.10"
20240208,"4,478.00","4,425.00","4,510.20","4,417.80"
20240207,"4,408.70","4,364.30","4,412.60","4,329.90"
20240206,"4,338.30","4,388.70","4,396.40","4,291.90"
20240205,"4,388.10","4,370.80","4,407.00","4,320.10"
20240202,"4,336.70","4,273.10","4,346.00","4,270.80"
20240201,"4,280.50","4,270.60","4,291.30","4,226.60"
20240131,"4,260.90","4,239.90","4,334.80","4,221.00"
20240130,"4,320.00","4,363.60","4,384.10","4,301.90"
20240129,"4,388.30","4,355.00","4,388.40","4,323.60"
20240126,"4,342.10","4,366.90","4,405.40","4,331.00"
20240125,"4,472.30","4,562.20","4,566.60","4,450.00"
20240124,"4,483.30","4,475.50","4,541.80","4,435.60"
20240123,"4,415.30","4,384.00","4,419.20","4,347.90"
20240122,"4,386.60","4,410.10","4,439.60","4,347.20"
20240119,"4,375.70","4,258.30","4,380.80","4,240.80"
20240118,"4,206.50","4,194.50","4,213.00","4,139.80"
20240117,"4,069.90","4,065.10","4,075.20","4,001.30"
20240116,"4,105.90","4,050.00","4,133.00","4,035.90"
20240112,"4,052.40","4,073.40","4,089.30","4,031.00"
20240111,"4,067.90","4,057.20","4,089.10","3,987.60"
20240110,"4,048.80","4,065.80","4,066.70","4,000.40"
20240109,"4,064.70","4,023.50","4,094.80","4,015.40"
20240108,"4,062.50","3,956.20","4,071.60","3,956.00"
20240105,"3,933.50","3,914.20","3,965.90","3,908.70"
20240104,"3,908.90","3,877.00","3,947.30","3,875.20"
20240103,"3,941.20","3,938.90","3,976.80","3,926.90"
20240102,"4,023.00","4,100.20","4,105.80","3,990.70"
20231229,"4,175.50","4,205.10","4,215.70","4,155.30"
20231228,"4,208.70","4,228.50","4,233.70","4,205.70"
20231227,"4,214.60","4,222.20","4,230.90","4,195.00"
20231226,"4,207.50","4,155.70","4,222.30","4,155.20"
20231222,"4,132.90","4,134.60","4,153.30","4,104.70"
20231221,"4,118.60","4,094.30","4,124.50","4,073.80"
20231220,"4,007.70","4,093.90","4,117.60","4,006.70"
20231219,"4,125.60","4,101.70","4,130.90","4,101.70"
20231218,"4,103.80","4,114.10","4,122.40","4,069.50"
20231215,"4,117.00","4,121.20","4,161.90","4,107.00"
20231214,"4,097.50","4,034.40","4,113.90","4,034.40"
20231213,"3,991.00","3,932.20","4,011.70","3,918.00"
20231212,"3,930.20","3,882.50","3,931.00","3,880.80"
20231211,"3,902.40","3,812.50","3,917.40","3,809.30"
20231208,"3,774.20","3,745.00","3,791.60","3,740.60"
20231207,"3,747.50","3,674.50","3,756.80","3,669.40"
20231206,"3,645.80","3,726.20","3,727.40","3,642.10"
20231205,"3,672.40","3,657.50","3,680.50","3,641.90"
20231204,"3,693.40","3,699.60","3,701.70","3,638.70"
20231201,"3,738.30","3,696.50","3,744.70","3,675.30"
20231130,"3,724.60","3,760.40","3,760.70","3,695.00"
20231129,"3,753.40","3,769.60","3,809.70","3,747.50"
20231128,"3,718.30","3,713.30","3,735.60","3,688.60"
20231127,"3,739.30","3,734.50","3,771.70","3,723.00"
20231124,"3,747.90","3,739.60","3,750.40","3,734.20"
20231122,"3,745.00","3,762.70","3,804.90","3,736.30"
20231121,"3,732.80","3,772.30","3,774.50","3,714.80"
20231120,"3,805.80","3,747.50","3,817.80","3,747.30"
20231117,"3,748.60","3,707.10","3,754.70","3,707.10"
20231116,"3,724.10","3,691.20","3,733.50","3,689.70"
20231115,"3,712.10","3,710.10","3,739.30","3,687.40"
20231114,"3,685.60","3,653.40","3,696.10","3,639.70"
20231113,"3,556.70","3,562.50","3,568.70","3,535.10"
20231110,"3,591.70","3,496.70","3,600.40","3,487.20"
20231109,"3,452.30","3,499.70","3,534.40","3,448.00"
20231108,"3,472.70","3,473.90","3,492.00","3,450.60"
20231107,"3,471.50","3,445.70","3,489.70","3,439.10"
20231106,"3,444.90","3,459.40","3,467.40","3,413.30"
20231103,"3,454.60","3,406.00","3,477.40","3,398.80"
20231102,"3,368.50","3,355.80","3,388.90","3,320.60"
20231101,"3,290.90","3,224.90","3,293.10","3,218.20"
20231031,"3,215.90","3,183.60","3,223.40","3,151.00"
20231030,"3,185.20","3,204.80","3,225.10","3,152.50"
20231027,"3,227.10","3,238.10","3,258.40","3,213.10"
20231026,"3,188.40","3,217.60","3,254.30","3,173.60"
20231025,"3,205.80","3,305.40","3,309.30","3,190.80"
20231024,"3,343.90","3,316.40","3,349.10","3,303.50"
20231023,"3,298.50","3,300.40","3,357.00","3,264.80"
20231020,"3,316.10","3,364.30","3,391.00","3,312.20"
20231019,"3,367.80","3,444.70","3,449.00","3,356.40"
20231018,"3,413.40","3,414.80","3,443.70","3,397.60"
20231017,"3,474.70","3,429.70","3,500.20","3,393.50"
20231016,"3,502.50","3,462.00","3,513.00","3,459.70"
20231013,"3,453.00","3,556.40","3,557.20","3,446.80"
20231012,"3,548.60","3,550.00","3,596.80","3,515.50"
20231011,"3,537.80","3,526.70","3,544.30","3,497.90"
20231010,"3,512.10","3,481.50","3,543.90","3,466.00"
20231009,"3,467.40","3,441.90","3,475.40","3,414.30"
20231006,"3,475.20","3,392.80","3,492.00","3,365.90"
20231005,"3,407.00","3,425.70","3,433.00","3,376.90"
20231004,"3,424.90","3,397.70","3,432.40","3,370.70"
20231003,"3,376.60","3,424.10","3,464.70","3,355.40"
20231002,"3,448.90","3,440.10","3,475.00","3,408.30"
20230929,"3,434.30","3,474.40","3,481.80","3,421.50"
20230928,"3,421.00","3,351.90","3,457.50","3,343.60"
20230927,"3,361.40","3,356.70","3,385.60","3,310.10"
20230926,"3,329.60","3,362.20","3,370.00","3,314.50"
20230925,"3,389.50","3,349.50","3,390.50","3,337.40"
20230922,"3,365.30","3,369.30","3,398.40","3,354.00"
20230921,"3,338.90","3,356.20","3,381.60","3,337.90"
20230920,"3,398.80","3,471.70","3,485.70","3,398.00"
20230919,"3,459.00","3,475.50","3,482.50","3,441.90"
20230918,"3,492.50","3,446.80","3,504.00","3,446.20"
20230915,"3,476.40","3,555.60","3,560.90","3,461.20"
20230914,"3,584.20","3,594.60","3,598.20","3,549.10"
20230913,"3,560.50","3,536.70","3,595.00","3,536.70"
20230912,"3,541.10","3,539.60","3,599.30","3,536.20"
20230911,"3,569.20","3,605.60","3,607.60","3,521.70"
20230908,"3,566.00","3,575.80","3,601.50","3,552.20"
20230907,"3,582.10","3,570.00","3,591.80","3,536.60"
20230906,"3,654.50","3,673.70","3,693.90","3,615.40"
20230905,"3,683.80","3,669.70","3,711.60","3,651.90"
20230901,"3,682.80","3,694.70","3,705.60","3,658.30"
20230831,"3,670.90","3,637.00","3,690.30","3,636.50"
20230830,"3,643.90","3,615.10","3,658.60","3,593.50"
20230829,"3,629.60","3,518.30","3,640.40","3,515.80"
20230828,"3,537.90","3,528.40","3,546.80","3,503.30"
20230825,"3,495.60","3,476.30","3,521.30","3,425.80"
20230824,"3,481.30","3,663.90","3,663.90","3,474.20"
20230823,"3,602.00","3,508.10","3,614.10","3,507.00"
20230822,"3,527.70","3,606.30","3,610.10","3,516.70"
20230821,"3,560.70","3,481.20","3,565.80","3,475.60"
20230818,"3,462.70","3,411.50","3,475.90","3,405.30"
20230817,"3,446.40","3,492.80","3,492.80","3,437.90"
20230816,"3,480.10","3,552.40","3,552.40","3,478.60"
20230815,"3,554.00","3,600.60","3,608.00","3,552.10"
20230814,"3,615.40","3,492.10","3,616.00","3,488.60"
20230811,"3,514.50","3,545.70","3,554.80","3,504.60"
20230810,"3,597.00","3,634.60","3,680.30","3,575.00"
20230809,"3,610.50","3,677.40","3,678.80","3,606.10"
20230808,"3,679.40","3,673.40","3,685.00","3,631.80"
20230807,"3,739.40","3,730.90","3,740.40","3,705.00"
20230804,"3,699.20","3,689.80","3,751.30","3,660.30"
20230803,"3,708.10","3,665.50","3,731.00","3,658.40"
20230802,"3,711.60","3,809.30","3,809.80","3,691.40"
20230801,"3,858.20","3,825.40","3,866.80","3,818.10"
20230731,"3,861.60","3,867.60","3,875.20","3,843.00"
20230728,"3,851.80","3,840.10","3,862.20","3,803.80"
20230727,"3,768.30","3,795.10","3,845.00","3,746.60"
20230726,"3,699.40","3,702.80","3,730.40","3,662.00"
20230725,"3,755.30","3,718.00","3,774.30","3,718.00"
20230724,"3,692.30","3,702.40","3,723.10","3,679.70"
20230721,"3,698.80","3,702.70","3,730.30","3,678.80"
20230720,"3,663.80","3,727.50","3,742.90","3,648.00"
20230719,"3,801.70","3,849.10","3,849.80","3,792.10"
20230718,"3,842.40","3,821.10","3,854.60","3,790.30"
20230717,"3,837.30","3,756.40","3,855.50","3,729.10"
20230714,"3,750.40","3,798.50","3,828.20","3,735.50"
20230713,"3,797.10","3,755.80","3,803.20","3,746.90"
20230712,"3,721.50","3,704.70","3,727.40","3,684.90"
20230711,"3,653.50","3,665.90","3,669.40","3,599.20"
20230710,"3,651.60","3,587.10","3,655.90","3,586.40"
20230707,"3,577.70","3,583.60","3,633.80","3,573.30"
20230706,"3,577.50","3,559.40","3,581.60","3,532.70"
20230705,"3,622.30","3,672.40","3,683.70","3,622.10"
20230703,"3,703.60","3,691.30","3,713.90","3,663.50"
20230630,"3,673.10","3,654.70","3,685.80","3,644.00"
20230629,"3,614.20","3,627.00","3,627.20","3,583.50"
20230628,"3,609.50","3,588.90","3,645.00","3,580.80"
20230627,"3,642.40","3,527.20","3,647.00","3,517.50"
20230626,"3,515.80","3,527.60","3,582.30","3,515.50"
20230623,"3,506.70","3,508.00","3,527.00","3,489.10"
20230622,"3,569.90","3,525.50","3,580.70","3,523.80"
20230621,"3,549.70","3,624.10","3,636.90","3,548.40"
20230620,"3,647.60","3,666.20","3,693.40","3,616.00"
20230616,"3,673.10","3,738.70","3,743.70","3,671.30"
20230615,"3,708.10","3,698.60","3,736.50","3,684.40"
20230614,"3,739.70","3,670.30","3,740.70","3,653.70"
20230613,"3,683.70","3,694.80","3,711.80","3,646.40"
20230612,"3,641.70","3,567.80","3,644.90","3,566.00"
20230609,"3,525.00","3,559.40","3,580.40","3,508.70"
20230608,"3,514.30","3,484.10","3,521.40","3,469.40"
20230607,"3,477.20","3,512.60","3,557.00","3,469.70"
20230606,"3,488.30","3,426.90","3,504.40","3,417.50"
20230605,"3,444.10","3,488.60","3,489.10","3,430.30"
20230602,"3,501.40","3,537.70","3,546.40","3,478.00"
20230601,"3,506.70","3,469.70","3,537.80","3,437.90"
20230531,"3,453.20","3,484.30","3,531.40","3,451.90"
20230530,"3,549.40","3,628.50","3,643.90","3,537.60"
20230526,"3,545.70","3,387.40","3,563.30","3,386.30"
20230525,"3,336.70","3,281.40","3,347.40","3,238.20"
20230524,"3,124.10","3,111.60","3,135.00","3,091.30"
20230523,"3,177.40","3,196.80","3,217.00","3,171.90"
20230522,"3,215.00","3,180.60","3,223.50","3,173.90"
20230519,"3,203.50","3,215.00","3,217.90","3,186.40"
20230518,"3,223.50","3,139.70","3,229.60","3,136.80"
20230517,"3,124.70","3,077.60","3,135.30","3,056.00"
20230516,"3,048.70","3,044.40","3,083.30","3,044.00"
20230515,"3,052.60","2,979.50","3,052.90","2,971.80"
20230512,"2,972.80","2,988.60","2,999.50","2,944.10"
20230511,"2,978.70","3,000.40","3,005.00","2,950.90"
20230510,"2,997.50","3,003.60","3,019.50","2,968.40"
20230509,"2,967.80","2,983.20","2,983.70","2,960.00"
20230508,"3,024.40","3,009.80","3,026.00","2,979.90"
20230505,"3,007.70","2,942.30","3,019.40","2,930.60"
20230504,"2,941.60","2,932.60","2,971.90","2,913.10"
20230503,"2,957.40","2,980.60","3,009.10","2,956.70"
20230502,"2,996.90","3,020.20","3,034.20","2,969.10"
20230501,"3,019.10","3,007.20","3,026.90","2,997.20"
20230428,"2,995.00","2,958.20","2,995.30","2,945.40"
20230427,"2,941.60","2,921.90","2,945.00","2,867.50"
20230426,"2,923.00","2,906.30","2,952.10","2,908.40"
20230425,"2,906.30","2,987.20","2,987.60","2,905.90"
20230424,"3,007.50","3,017.90","3,031.90","2,987.90"
20230421,"3,021.40","3,026.80","3,032.00","2,995.90"
20230420,"3,046.30","3,015.80","3,090.90","3,015.80"
20230419,"3,046.40","3,036.00","3,053.30","3,026.80"
20230418,"3,077.70","3,097.90","3,116.40","3,054.30"
20230417,"3,066.70","3,033.40","3,067.90","3,025.80"
20230414,"3,070.50","3,070.90","3,107.30","3,037.00"
20230413,"3,074.90","3,055.50","3,092.20","3,036.00"
20230412,"3,052.50","3,133.90","3,140.70","3,049.90"
20230411,"3,109.40","3,145.90","3,146.00","3,104.40"
20230410,"3,127.00","3,047.90","3,127.90","3,042.30"
20230406,"3,071.80","3,055.20","3,093.80","3,034.80"
20230405,"3,086.00","3,107.10","3,111.80","3,055.40"
20230404,"3,142.50","3,207.00","3,209.30","3,126.30"
20230403,"3,200.40","3,209.70","3,222.30","3,162.40"
20230331,"3,230.90","3,182.70","3,233.90","3,178.40"
20230330,"3,208.30","3,198.20","3,230.10","3,186.30"
20230329,"3,157.10","3,109.60","3,176.80","3,105.40"
20230328,"3,057.30","3,077.00","3,077.00","3,015.80"
20230327,"3,083.60","3,129.40","3,141.80","3,075.80"
20230324,"3,121.30","3,150.90","3,154.40","3,090.00"
20230323,"3,174.40","3,146.20","3,216.30","3,119.00"
20230322,"3,091.70","3,119.00","3,201.60","3,089.90"
20230321,"3,116.90","3,137.30","3,169.90","3,071.20"
20230320,"3,114.70","3,083.90","3,123.10","3,060.30"
20230317,"3,083.50","3,104.80","3,127.40","3,064.00"
20230316,"3,098.10","2,963.30","3,102.00","2,955.10"
20230315,"2,977.40","2,968.50","2,985.50","2,915.20"
20230314,"3,010.10","2,977.60","3,026.90","2,960.60"
20230313,"2,921.70","2,883.90","2,957.70","2,861.40"
20230310,"2,923.90","2,995.90","3,003.60","2,909.50"
20230309,"2,980.20","3,037.60","3,083.70","2,976.30"
20230308,"3,041.40","2,981.80","3,044.20","2,979.40"
20230307,"2,962.40","2,996.80","3,011.10","2,950.80"
20230306,"2,994.60","3,036.60","3,064.30","2,988.80"
20230303,"3,028.30","2,982.60","3,031.90","2,961.80"
20230302,"2,984.10","2,909.70","2,996.60","2,892.20"
20230301,"2,955.80","2,967.40","2,993.20","2,945.30"
20230228,"2,958.40","2,945.90","2,998.00","2,937.00"
20230227,"2,951.20","2,983.40","2,986.80","2,949.70"
