date,close,open,high,low
20240827,"5,616.63","5,606.49","5,631.31","5,594.83"
20240826,"5,616.84","5,639.66","5,651.62","5,602.34"
20240823,"5,634.61","5,602.49","5,641.82","5,585.16"
20240822,"5,570.64","5,637.77","5,643.22","5,560.95"
20240821,"5,620.85","5,603.09","5,632.68","5,591.57"
20240820,"5,597.12","5,602.88","5,620.51","5,585.50"
20240819,"5,608.25","5,557.23","5,608.30","5,550.74"
20240816,"5,554.25","5,530.50","5,561.98","5,525.17"
20240815,"5,543.22","5,501.13","5,546.23","5,501.13"
20240814,"5,455.21","5,442.36","5,463.22","5,415.91"
20240813,"5,434.43","5,376.98","5,436.50","5,376.98"
20240812,"5,344.39","5,351.88","5,371.20","5,324.37"
20240809,"5,344.16","5,314.66","5,358.67","5,300.84"
20240808,"5,319.31","5,252.57","5,328.03","5,233.85"
20240807,"5,199.50","5,293.13","5,330.64","5,195.54"
20240806,"5,240.03","5,206.42","5,312.34","5,193.56"
20240805,"5,186.33","5,151.14","5,250.89","5,119.26"
20240802,"5,346.56","5,376.63","5,383.89","5,302.03"
20240801,"5,446.68","5,537.84","5,566.16","5,410.42"
20240731,"5,522.30","5,505.59","5,551.51","5,493.75"
20240730,"5,436.44","5,478.73","5,489.46","5,401.70"
20240729,"5,463.54","5,476.55","5,487.74","5,444.44"
20240726,"5,459.10","5,433.67","5,488.32","5,430.70"
20240725,"5,399.22","5,428.70","5,491.59","5,390.95"
20240724,"5,427.13","5,505.84","5,508.04","5,419.98"
20240723,"5,555.74","5,565.30","5,585.34","5,550.90"
20240722,"5,564.41","5,544.54","5,570.36","5,529.04"
20240719,"5,505.00","5,543.37","5,557.50","5,497.04"
20240718,"5,544.59","5,608.56","5,614.05","5,522.81"
20240717,"5,588.27","5,610.07","5,622.49","5,584.81"
20240716,"5,667.20","5,644.09","5,669.67","5,639.02"
20240715,"5,631.22","5,638.16","5,666.94","5,614.75"
20240712,"5,615.35","5,590.76","5,655.56","5,590.44"
20240711,"5,584.54","5,635.21","5,642.45","5,576.53"
20240710,"5,633.91","5,591.26","5,635.39","5,586.44"
20240709,"5,576.98","5,584.24","5,590.75","5,574.57"
