date,close,open,high,low
20240827,"41,161.97","41,186.28","41,259.50","41,127.57"
20240826,"41,240.52","41,200.84","41,420.05","41,140.23"
20240823,"41,175.08","40,879.12","41,207.92","40,842.96"
20240822,"40,712.78","40,932.23","41,026.64","40,584.47"
20240821,"40,890.49","40,881.03","40,974.40","40,738.43"
20240820,"40,834.97","40,874.52","40,909.38","40,756.65"
20240819,"40,896.53","40,670.83","40,907.32","40,670.83"
20240816,"40,659.76","40,528.86","40,726.03","40,453.58"
20240815,"40,563.06","40,295.74","40,590.51","40,295.74"
20240814,"40,008.39","39,800.59","40,068.75","39,737.20"
20240813,"39,765.64","39,445.27","39,792.80","39,392.41"
20240812,"39,357.01","39,556.01","39,587.06","39,251.72"
20240809,"39,497.54","39,408.06","39,628.66","39,230.43"
20240808,"39,446.49","38,940.38","39,508.40","38,922.79"
20240807,"38,763.45","39,230.09","39,477.96","38,731.51"
20240806,"38,997.66","38,736.22","39,449.53","38,638.30"
20240805,"38,703.27","39,056.19","39,056.19","38,499.27"
20240802,"39,737.26","40,075.33","40,075.33","39,358.68"
20240801,"40,347.97","40,916.96","41,096.66","40,098.57"
20240731,"40,842.79","40,768.88","41,198.63","40,655.89"
20240730,"40,743.33","40,622.13","40,866.25","40,529.10"
20240729,"40,539.93","40,665.71","40,682.49","40,388.83"
20240726,"40,589.34","40,140.86","40,753.83","40,140.86"
20240725,"39,935.07","39,828.63","40,438.82","39,817.50"
20240724,"39,853.87","40,210.63","40,258.44","39,807.45"
20240723,"40,358.09","40,443.73","40,527.89","40,319.70"
20240722,"40,415.44","40,414.49","40,472.53","40,222.77"
20240719,"40,287.53","40,592.35","40,626.16","40,203.27"
20240718,"40,665.02","41,156.56","41,376.00","40,597.50"
20240717,"41,198.08","40,862.57","41,221.98","40,849.71"
20240716,"40,954.48","40,263.78","40,988.81","40,263.78"
20240715,"40,211.72","40,138.40","40,351.10","40,136.10"
20240712,"40,000.90","39,783.28","40,257.24","39,783.28"
20240711,"39,753.75","39,695.18","39,875.60","39,623.12"
20240710,"39,721.36","39,272.45","39,736.20","39,256.72"
20240709,"39,291.97","39,357.37","39,492.28","39,146.60"
20240708,"39,344.79","39,391.98","39,654.96","39,278.43"
20240705,"39,375.87","39,313.40","39,399.62","39,168.70"
20240703,"39,308.00","39,358.95","39,411.17","39,230.86"
20240702,"39,331.85","39,108.25","39,340.49","39,085.69"
20240701,"39,169.52","39,186.20","39,438.36","39,037.94"
20240628,"39,118.86","39,092.39","39,443.60","38,937.15"
20240627,"39,164.06","39,107.10","39,250.69","39,026.75"
20240626,"39,127.80","39,063.15","39,183.74","38,908.99"
20240625,"39,112.16","39,398.79","39,423.26","38,997.23"
20240624,"39,411.21","39,184.49","39,571.23","39,184.49"
20240621,"39,150.33","39,208.51","39,257.18","39,061.67"
20240620,"39,134.76","38,804.73","39,232.50","38,778.46"
20240618,"38,834.86","38,779.12","38,936.93","38,727.67"
20240617,"38,778.10","38,565.18","38,839.88","38,431.95"
20240614,"38,589.16","38,528.39","38,595.24","38,305.85"
20240613,"38,647.10","38,677.12","38,712.21","38,407.70"
20240612,"38,712.21","38,950.65","39,120.26","38,621.45"
20240611,"38,747.42","38,795.71","38,795.71","38,446.24"
20240610,"38,868.04","38,784.90","38,877.86","38,665.45"
20240607,"38,798.99","38,861.24","39,105.23","38,751.85"
20240606,"38,886.17","38,825.40","39,004.16","38,735.99"
20240605,"38,807.33","38,774.82","38,844.32","38,548.77"
20240604,"38,711.29","38,518.86","38,786.62","38,397.82"
20240603,"38,571.03","38,709.99","38,735.61","38,247.22"
20240531,"38,686.32","38,140.26","38,719.43","38,092.27"
20240530,"38,111.48","38,368.35","38,493.60","38,000.96"
20240529,"38,441.54","38,716.28","38,716.28","38,413.67"
20240528,"38,852.86","39,028.99","39,028.99","38,706.14"
20240524,"39,069.59","39,089.23","39,220.31","39,020.29"
20240523,"39,065.26","39,694.95","39,694.95","39,025.51"
20240522,"39,671.04","39,863.33","39,890.91","39,559.09"
20240521,"39,872.99","39,804.40","39,905.80","39,778.73"
20240520,"39,806.77","39,989.76","40,077.40","39,787.09"
20240517,"40,003.59","39,911.72","40,010.88","39,858.86"
