date,close,open,high,low
20240827,"17,720.66","17,655.52","17,786.72","17,573.37"
20240826,"17,725.77","17,867.85","17,909.09","17,645.69"
20240823,"17,877.79","17,772.73","17,941.27","17,700.27"
20240822,"17,619.35","17,993.72","18,017.69","17,589.15"
20240821,"17,918.99","17,840.51","17,963.07","17,790.98"
20240820,"17,816.94","17,849.09","17,932.53","17,758.20"
20240819,"17,876.77","17,649.74","17,877.44","17,585.58"
20240816,"17,631.72","17,516.40","17,674.65","17,502.82"
20240815,"17,594.50","17,394.54","17,602.72","17,375.41"
20240814,"17,192.60","17,227.64","17,260.73","17,032.17"
20240813,"17,187.61","16,944.73","17,192.79","16,943.95"
20240812,"16,780.61","16,793.64","16,895.79","16,699.39"
20240809,"16,745.30","16,636.52","16,789.22","16,574.57"
20240808,"16,660.02","16,408.27","16,694.25","16,262.93"
20240807,"16,195.81","16,622.31","16,709.81","16,179.53"
20240806,"16,366.86","16,261.36","16,620.31","16,137.65"
20240805,"16,200.08","15,712.53","16,453.46","15,708.54"
20240802,"16,776.16","16,780.45","16,920.63","16,582.79"
20240801,"17,194.14","17,647.03","17,791.59","17,051.42"
20240731,"17,599.40","17,499.23","17,693.98","17,438.60"
20240730,"17,147.42","17,424.10","17,468.56","17,015.38"
20240729,"17,370.20","17,444.39","17,535.32","17,299.83"
20240726,"17,357.88","17,331.95","17,454.57","17,239.99"
20240725,"17,181.72","17,352.64","17,544.46","17,033.96"
20240724,"17,342.41","17,733.91","17,747.06","17,313.52"
20240723,"17,997.35","17,982.74","18,128.38","17,968.10"
20240722,"18,007.57","17,923.64","18,040.99","17,839.76"
20240719,"17,726.94","17,835.59","17,935.14","17,691.43"
20240718,"17,871.22","18,119.15","18,130.87","17,759.54"
20240717,"17,996.93","18,188.19","18,223.24","17,972.87"
20240716,"18,509.34","18,534.27","18,576.83","18,386.07"
20240715,"18,472.57","18,485.91","18,641.53","18,397.83"
20240712,"18,398.45","18,303.64","18,556.73","18,293.60"
20240711,"18,283.41","18,659.25","18,671.07","18,238.78"
20240710,"18,647.45","18,512.09","18,655.19","18,467.58"
